1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
0.17 0.50 0.25 0.50 0.33 0.50 0.29 0.17 0.46 0.38 0.21 0.42 0.29 0.12 0.08 0.12 0.25 0.33 0.42 0.46 0.42 0.50 0.08 0.17 0.29 0.42 0.29 0.25 0.25 0.50 0.46 0.08 0.38 0.08 0.25 0.08 0.12 0.50 0.46 0.50 0.38 0.29 0.25 0.08 0.38 0.21 0.42 0.46 0.17 0.17 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 
17228024 14364324 9293288 28571095 17622366 20293261 18860686 8921913 21202338 25511321 22791991 22440065 7362730 26178903 26768876 18856055 4781160 28467722 13447247 12130597 11801548 5042887 4110177 5962616 6593436 9966306 24266034 15222955 11922417 5566784 20169889 27569925 23853214 15974655 3516583 27245644 5947824 11385276 5694134 9507792 22212715 13740319 20443039 9542471 11536334 17772243 8630164 7427086 15875023 19910499 
0.29 0.25 0.21 0.50 0.33 0.42 0.42 0.17 0.38 0.46 0.38 0.42 0.12 0.50 0.50 0.33 0.08 0.50 0.29 0.25 0.25 0.08 0.12 0.08 0.17 0.21 0.50 0.29 0.25 0.12 0.29 0.50 0.46 0.25 0.08 0.50 0.12 0.25 0.17 0.17 0.42 0.29 0.42 0.21 0.25 0.38 0.25 0.12 0.25 0.33 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 
4196648 2145792 4334721 1491859 5140930 2710955 3583066 1557335 4665356 1187753 4884608 4398153 1113517 4503670 4046126 6273693 3016857 2983222 797423 5032710 1779522 5680294 2741134 3917047 5453174 5597322 3181657 2055297 1106103 3921101 4190848 5384136 1874058 2844678 2258870 1125466 3329193 1020384 4748380 3514448 5079661 2909703 5803190 4758168 1811027 5219348 3094065 1232245 2895652 1308758 
0.46 0.21 0.46 0.08 0.42 0.29 0.42 0.08 0.33 0.08 0.50 0.33 0.21 0.38 0.25 0.50 0.38 0.38 0.08 0.42 0.17 0.50 0.21 0.38 0.38 0.50 0.29 0.17 0.12 0.29 0.29 0.46 0.12 0.25 0.21 0.08 0.21 0.12 0.42 0.33 0.46 0.33 0.50 0.33 0.25 0.46 0.21 0.08 0.21 0.17 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 
2310552 1468724 1051117 603526 1850725 1166683 1646649 535115 1551233 1742024 1988203 1057319 570950 761004 1629299 349513 357666 579121 76810 593345 1301640 539182 683038 939172 248413 1492634 1264081 394327 488228 1993253 1453148 1068268 895015 1954857 980545 1019127 296887 615229 1479902 1101427 776119 471167 373495 632550 1792546 2264738 1361120 1569376 2009586 902984 
0.50 0.33 0.29 0.17 0.42 0.29 0.38 0.12 0.38 0.38 0.46 0.25 0.17 0.12 0.33 0.08 0.08 0.08 0.08 0.12 0.38 0.12 0.17 0.25 0.08 0.42 0.29 0.08 0.12 0.42 0.33 0.25 0.25 0.50 0.17 0.25 0.08 0.12 0.33 0.21 0.21 0.08 0.08 0.17 0.46 0.46 0.29 0.46 0.50 0.17 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
290989 512901 157117 256943 135300 925036 110126 385264 813019 733653 532544 882803 262676 320490 190859 147424 212641 675582 172863 500429 565726 311841 539020 795614 201737 749001 334815 397122 665625 720068 737190 333319 314855 910326 230845 446508 583652 536695 917021 209276 750958 105148 4542 399660 996798 266999 625342 367077 758996 138106 
0.12 0.33 0.21 0.17 0.08 0.50 0.08 0.17 0.46 0.50 0.33 0.50 0.21 0.17 0.12 0.17 0.08 0.50 0.21 0.21 0.33 0.21 0.38 0.33 0.12 0.50 0.25 0.21 0.50 0.38 0.46 0.25 0.25 0.46 0.12 0.29 0.29 0.25 0.50 0.12 0.42 0.08 0.08 0.21 0.50 0.12 0.29 0.25 0.46 0.08 
